VARIABLES = "X", "Y", "Speed", "P", "M","H", "S", "Xvel", "Yvel","F0", "G0", "rho", "RES0", "RES1", "RES2", "RES3" 
ZONE T = "CELL CENTERS AT TIMESTEP 0 ", I = 128 , J = 64, F=POINT 

3.59725 -0.0750775 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.0492 -9559.82 125.549 -5.27652e+006
3.77603 -0.079525 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -17.0061 -9535.65 124.914 -5.26319e+006
3.96542 -0.08423 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.9944 -9529.06 124.742 -5.25955e+006
4.16605 -0.08921 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.9759 -9518.71 124.47 -5.25384e+006
4.3786 -0.09448 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.9599 -9509.75 124.236 -5.24889e+006
4.60382 -0.10006 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.9535 -9506.16 124.142 -5.24691e+006
4.84247 -0.105967 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.9275 -9491.58 123.762 -5.23886e+006
5.0953 -0.112223 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.931 -9493.55 123.813 -5.23995e+006
5.36325 -0.118847 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.9102 -9481.86 123.508 -5.2335e+006
5.6473 -0.125865 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.9038 -9478.3 123.415 -5.23153e+006
5.94835 -0.133302 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.9099 -9481.69 123.504 -5.2334e+006
6.26755 -0.141185 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8901 -9470.58 123.214 -5.22727e+006
6.6061 -0.149543 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8976 -9474.82 123.324 -5.22961e+006
6.96523 -0.158408 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8912 -9471.23 123.231 -5.22763e+006
7.34633 -0.16781 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8777 -9463.67 123.034 -5.22346e+006
7.75095 -0.177792 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8871 -9468.91 123.171 -5.22635e+006
8.1808 -0.1884 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8886 -9469.73 123.192 -5.2268e+006
8.63782 -0.199678 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8872 -9468.98 123.173 -5.22639e+006
9.12435 -0.211683 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8872 -9468.96 123.172 -5.22637e+006
9.64345 -0.224493 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -16.8886 -9469.77 123.193 -5.22682e+006
10.2028 -0.238225 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 636.597 751913 101448 5.64739e+008
0.998715 -0.00110145 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -185.987 -118584 13400.8 -5.75607e+007
1.00004 -0.00302688 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -5.32416 -2985.36 9590.7 -1.64776e+006
1.00322 -0.0051629 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -44.1954 -24781.2 8774.92 -1.36779e+007
1.0083 -0.00738362 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -49.2912 -27638.5 6198.6 -1.5255e+007
1.01525 -0.0096494 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -45.9777 -25780.6 4259.89 -1.42296e+007
1.02405 -0.0119509 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -41.3469 -23184 3119.56 -1.27964e+007
1.03468 -0.0142898 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -38.1772 -21406.7 2426.35 -1.18154e+007
1.0472 -0.0166717 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -34.5244 -19358.5 1888.28 -1.06849e+007
1.0616 -0.0191043 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -31.4627 -17641.7 1553.66 -9.73733e+006
1.07793 -0.0215948 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -29.8579 -16741.9 1318.47 -9.24065e+006
1.09625 -0.024152 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -27.5868 -15468.4 1124.19 -8.53778e+006
1.11658 -0.0267853 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -26.4667 -14840.4 999.632 -8.19112e+006
1.13895 -0.029503 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -24.7734 -13890.9 882.296 -7.66707e+006
1.16348 -0.0323143 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -24.053 -13487 804.52 -7.44411e+006
1.1902 -0.0352288 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -22.7901 -12778.9 731.165 -7.05327e+006
1.2192 -0.0382562 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -22.4327 -12578.4 685.708 -6.94264e+006
1.2506 -0.0414067 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -21.369 -11982 630.278 -6.61345e+006
1.28448 -0.0446903 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -20.9644 -11755.2 596.737 -6.48824e+006
1.32092 -0.0481175 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -20.4631 -11474 565.877 -6.33307e+006
1.36003 -0.0517 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -20.01 -11220 539.961 -6.19287e+006
1.40193 -0.0554492 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -19.6224 -11002.6 516.751 -6.07289e+006
1.44678 -0.059377 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -19.2647 -10802.1 497.105 -5.96219e+006
1.4947 -0.0634963 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -19.0564 -10685.3 482.806 -5.89773e+006
1.54587 -0.0678202 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -18.7407 -10508.3 466.308 -5.80002e+006
1.60043 -0.0723628 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -18.4811 -10362.7 454.297 -5.71967e+006
1.65853 -0.0771373 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -18.2591 -10238.2 442.395 -5.65098e+006
1.7204 -0.0821602 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -18.1846 -10196.4 435.559 -5.62791e+006
1.7862 -0.087451 264.958 101325 0.8 309488 3295.47 264.958 0 342.591 0 1.293 -18.0505 -10121.3 428.591 -5.58642e+006
