1,0.99965,1.0018,1.0059,1.0119,1.0198,1.0295,1.0411,1.0546,1.0699,1.0873,1.1066,1.1279,1.1514,1.177,1.2049,1.2351,1.2678,1.3029,1.3407,1.3813,1.4247,1.4711,1.5207,1.5735,1.6299,1.6899,1.7537,1.8216,1.8938,1.9704,2.0518,2.1381,2.2298,2.3269,2.43,2.5393,2.6551,2.7778,2.9079,3.0458,3.1918,3.3465,3.5104,3.684,3.868,4.0628,4.2692,4.4879,4.7197,4.9652,5.2253,5.5011,5.7934,6.1032,6.4318,6.7803,7.1501,7.5425,7.9593,8.4022,8.8734,9.3753,9.9116,10.5
0.9994,0.99965,1.0018,1.0059,1.0119,1.0198,1.0295,1.0411,1.0546,1.0699,1.0873,1.1066,1.128,1.1514,1.1771,1.2049,1.2352,1.2678,1.303,1.3408,1.3813,1.4247,1.4711,1.5207,1.5736,1.6299,1.6899,1.7538,1.8217,1.8938,1.9705,2.0518,2.1382,2.2298,2.327,2.4301,2.5393,2.6552,2.7779,2.908,3.0458,3.1919,3.3466,3.5105,3.6841,3.868,4.0629,4.2693,4.488,4.7197,4.9653,5.2254,5.5012,5.7935,6.1033,6.4319,6.7804,7.1501,7.5426,7.9594,8.4023,8.8734,9.3753,9.9116,10.488
0.99759,0.99822,1.0005,1.0047,1.0107,1.0186,1.0283,1.0398,1.0533,1.0686,1.0859,1.1052,1.1265,1.1499,1.1755,1.2033,1.2334,1.266,1.3011,1.3388,1.3792,1.4225,1.4688,1.5182,1.571,1.6272,1.6871,1.7508,1.8185,1.8905,1.9669,2.0481,2.1342,2.2256,2.3226,2.4254,2.5344,2.6499,2.7724,2.9021,3.0396,3.1853,3.3396,3.5031,3.6763,3.8598,4.0542,4.2601,4.4782,4.7094,4.9543,5.2138,5.4888,5.7804,6.0894,6.4171,6.7647,7.1335,7.5248,7.9404,8.3819,8.8514,9.3511,9.8837,10.452
0.99459,0.99546,0.99795,1.0022,1.0082,1.0161,1.0257,1.0373,1.0506,1.0659,1.0831,1.1023,1.1235,1.1468,1.1723,1.1999,1.2299,1.2623,1.2972,1.3348,1.375,1.4181,1.4642,1.5134,1.5659,1.6218,1.6814,1.7447,1.8121,1.8837,1.9598,2.0406,2.1263,2.2173,2.3137,2.416,2.5245,2.6395,2.7613,2.8904,3.0272,3.1722,3.3258,3.4884,3.6608,3.8433,4.0368,4.2416,4.4587,4.6887,4.9323,5.1905,5.4642,5.7542,6.0617,6.3877,6.7334,7.1002,7.4894,7.9026,8.3414,8.8077,9.3036,9.831,10.392
0.99039,0.99144,0.99408,0.9984,1.0045,1.0123,1.0219,1.0334,1.0467,1.0619,1.079,1.098,1.1191,1.1422,1.1675,1.1949,1.2247,1.2569,1.2915,1.3288,1.3687,1.4115,1.4572,1.5061,1.5582,1.6137,1.6728,1.7357,1.8026,1.8737,1.9492,2.0294,2.1145,2.2047,2.3005,2.402,2.5097,2.6238,2.7448,2.8729,3.0087,3.1526,3.305,3.4665,3.6375,3.8187,4.0107,4.214,4.4294,4.6576,4.8995,5.1557,5.4272,5.715,6.0201,6.3436,6.6865,7.0503,7.4363,7.846,8.2809,8.7427,9.2334,9.7546,10.308
0.98502,0.9862,0.98896,0.99336,0.99945,1.0073,1.0169,1.0282,1.0414,1.0565,1.0734,1.0923,1.1131,1.136,1.1611,1.1883,1.2178,1.2496,1.2839,1.3208,1.3603,1.4027,1.448,1.4963,1.5479,1.6029,1.6614,1.7237,1.7899,1.8603,1.9351,2.0145,2.0987,2.1881,2.2829,2.3834,2.49,2.603,2.7227,2.8496,2.984,3.1265,3.2774,3.4372,3.6065,3.7859,3.9759,4.1772,4.3905,4.6164,4.8557,5.1094,5.3781,5.6629,5.9648,6.2849,6.6242,6.9841,7.3659,7.7709,8.2007,8.6569,9.1412,9.6551,10.2
0.97847,0.97976,0.98261,0.98707,0.99319,1.001,1.0105,1.0218,1.0348,1.0497,1.0665,1.0851,1.1057,1.1284,1.1531,1.18,1.2091,1.2405,1.2744,1.3108,1.3499,1.3917,1.4364,1.4842,1.5351,1.5894,1.6472,1.7087,1.7741,1.8436,1.9175,1.9959,2.079,2.1673,2.2609,2.3602,2.4654,2.577,2.6952,2.8205,2.9533,3.0939,3.2429,3.4007,3.5679,3.745,3.9327,4.1314,4.3419,4.565,4.8013,5.0516,5.3169,5.598,5.896,6.2118,6.5467,6.9017,7.2782,7.6776,8.1012,8.5507,9.0275,9.5332,10.069
0.97077,0.97216,0.97508,0.97958,0.98569,0.99345,1.0029,1.014,1.0269,1.0416,1.0581,1.0765,1.0968,1.1192,1.1435,1.17,1.1987,1.2297,1.263,1.2989,1.3374,1.3786,1.4226,1.4697,1.5198,1.5733,1.6302,1.6908,1.7552,1.8237,1.8964,1.9736,2.0555,2.1425,2.2347,2.3324,2.4361,2.5459,2.6624,2.7858,2.9165,3.055,3.2017,3.3571,3.5218,3.6962,3.8809,4.0766,4.2839,4.5035,4.7361,4.9826,5.2438,5.5205,5.8137,6.1246,6.454,6.8033,7.1736,7.5663,7.9828,8.4244,8.8927,9.3892,9.9154
0.96194,0.96341,0.96638,0.9709,0.97699,0.98469,0.99403,1.005,1.0177,1.0322,1.0485,1.0665,1.0865,1.1084,1.1324,1.1584,1.1866,1.217,1.2498,1.285,1.3228,1.3633,1.4066,1.4528,1.502,1.5546,1.6105,1.67,1.7333,1.8005,1.8719,1.9477,2.0282,2.1136,2.2041,2.3002,2.4019,2.5098,2.6242,2.7454,2.8738,3.0098,3.1539,3.3065,3.4682,3.6394,3.8208,4.013,4.2165,4.4321,4.6605,4.9025,5.1588,5.4305,5.7183,6.0233,6.3466,6.6892,7.0525,7.4375,7.8458,8.2786,8.7374,9.2236,9.7388
0.95199,0.95353,0.95654,0.96106,0.96711,0.97473,0.98394,0.99477,1.0073,1.0215,1.0374,1.0551,1.0747,1.0962,1.1197,1.1452,1.1728,1.2026,1.2347,1.2693,1.3063,1.3459,1.3883,1.4335,1.4818,1.5333,1.588,1.6463,1.7083,1.7741,1.8441,1.9183,1.9971,2.0807,2.1694,2.2634,2.3631,2.4688,2.5808,2.6995,2.8252,2.9584,3.0995,3.2489,3.4072,3.5749,3.7525,3.9407,4.1399,4.351,4.5746,4.8114,5.0624,5.3282,5.6099,5.9083,6.2246,6.5598,6.915,7.2916,7.6906,8.1136,8.5618,9.0368,9.5399
