VARIABLES = "Xctr", "Yctr", "xSds", "ySds", "xSnorm","ySnorm", "xWds", "yWds","xWnorm", "yWnorm", "xInorm", "yInorm", "xJnorm", "yJnorm" 
ZONE T = "Grid center vals ", I = 129 , J = 64, F=POINT 

0.36622 -0.0723135 0.000657 -0.02365 0.0277694 -0.999614 -0.026875 0.00082 -0.999535 0.0304974 -0.999381 0.034891 0.018807 -0.999783
0.342635 -0.0726395 0.000448 -0.0233 0.0192239 -0.999815 -0.026453 0.00104 -0.999228 0.0392847 -0.999027 0.0438735 0.00884665 -0.999907
0.319425 -0.072721 0.000229 -0.0229 0.0099995 -0.99995 -0.025969 0.00126 -0.998825 0.0484624 -0.998568 0.0532872 -0.0018119 -0.999929
0.296642 -0.0725497 2e-06 -0.02244 8.91266e-05 -1 -0.025425 0.00148 -0.99831 0.0581121 -0.997973 0.0634198 -0.0132062 -0.999824
0.27435 -0.0721187 -0.000233 -0.02192 -0.010629 -0.999944 -0.024822 0.00171 -0.997635 0.0687276 -0.99723 0.0741741 -0.0254427 -0.999566
0.2526 -0.0714225 -0.000474 -0.02135 -0.0221959 -0.999754 -0.024163 0.00193 -0.996825 0.0796206 -0.996286 0.0858802 -0.038523 -0.999124
0.23144 -0.0704572 -0.000718 -0.02074 -0.0345984 -0.999401 -0.023451 0.00217 -0.995746 0.0921397 -0.995121 0.0984556 -0.0525879 -0.998454
0.210927 -0.0692205 -0.000966 -0.02006 -0.0480998 -0.998843 -0.022686 0.00239 -0.994496 0.104771 -0.993699 0.111855 -0.067746 -0.997508
0.19111 -0.0677118 -0.001214 -0.01935 -0.0626159 -0.998038 -0.021872 0.00262 -0.992902 0.118938 -0.991945 0.126443 -0.0840273 -0.996232
0.172035 -0.0659325 -0.00146 -0.01858 -0.0783376 -0.996927 -0.021011 0.00284 -0.990988 0.133949 -0.9898 0.142216 -0.101654 -0.994544
0.15375 -0.063886 -0.001704 -0.01777 -0.0954541 -0.995434 -0.020103 0.00306 -0.988613 0.150483 -0.987132 0.159639 -0.1207 -0.992363
0.136295 -0.0615773 -0.001942 -0.01693 -0.11396 -0.993485 -0.019153 0.00328 -0.985651 0.168795 -0.98389 0.1785 -0.141418 -0.989561
0.119715 -0.059013 -0.002174 -0.01603 -0.13439 -0.990928 -0.01816 0.00348 -0.98213 0.188205 -0.979909 0.199132 -0.164091 -0.985986
0.104053 -0.0562012 -0.002399 -0.015094 -0.156967 -0.987604 -0.017128 0.00368 -0.977689 0.210059 -0.974874 0.222398 -0.189068 -0.98142
0.0893455 -0.0531515 -0.002614 -0.014131 -0.181897 -0.983318 -0.016059 0.003878 -0.972059 0.234737 -0.968547 0.248428 -0.216642 -0.975602
0.0756255 -0.0498753 -0.002818 -0.013129 -0.20986 -0.977732 -0.014955 0.004062 -0.965036 0.262118 -0.96054 0.277669 -0.247397 -0.968139
0.0629278 -0.0463838 -0.003012 -0.012097 -0.241611 -0.970373 -0.013818 0.004238 -0.956045 0.29322 -0.950255 0.310915 -0.282193 -0.958425
0.0512832 -0.0426892 -0.003194 -0.011034 -0.278054 -0.960565 -0.012649 0.004401 -0.944466 0.32861 -0.936845 0.349063 -0.321713 -0.945714
0.04072 -0.0388057 -0.003363 -0.009945 -0.32034 -0.947303 -0.011452 0.004554 -0.929225 0.369515 -0.919015 0.393368 -0.367109 -0.928818
0.0312637 -0.034746 -0.003522 -0.008832 -0.370411 -0.928868 -0.010229 0.004696 -0.908805 0.417221 -0.894884 0.445204 -0.42007 -0.905839
0.0229377 -0.0305232 -0.003667 -0.007698 -0.430056 -0.902802 -0.008983 0.004825 -0.880962 0.473187 -0.861573 0.506189 -0.482004 -0.874158
0.0157616 -0.026151 -0.003802 -0.006546 -0.502244 -0.864726 -0.007716 0.00494 -0.842184 0.53919 -0.814614 0.578043 -0.554946 -0.829466
0.00975305 -0.0216417 -0.003927 -0.0053767 -0.589808 -0.807543 -0.006432 0.0050415 -0.787044 0.616897 -0.747354 0.661723 -0.640359 -0.765242
0.00492719 -0.017008 -0.004042 -0.0041956 -0.693801 -0.720166 -0.005137 0.0051289 -0.707664 0.706549 -0.650591 0.755684 -0.737627 -0.672066
0.00129595 -0.012262 -0.004149 -0.0030041 -0.809974 -0.586465 -0.003835 0.00520032 -0.593518 0.80482 -0.514019 0.852742 -0.841007 -0.537951
-0.00113098 -0.007416 -0.0042498 -0.00180532 -0.920397 -0.390986 -0.002535 0.0052545 -0.434519 0.900663 -0.332135 0.936956 -0.934679 -0.35319
-0.00234645 -0.00248472 -0.0043452 -0.00060228 -0.99053 -0.137296 -0.0012486 0.00528918 -0.229752 0.973249 -0.114865 0.986625 -0.992277 -0.123227
-0.00234641 0.00248483 -0.0043452 0.00060228 -0.99053 0.137296 1.18e-07 0.0053012 2.22591e-05 1 0.114909 0.98662 -0.992275 0.123245
-0.00113086 0.00741605 -0.0042498 0.00180532 -0.920397 0.390986 0.0012488 0.00528898 0.229795 0.973239 0.332167 0.936946 -0.934674 0.353203
0.00129613 0.012262 -0.004149 0.0030041 -0.809974 0.586465 0.002535 0.0052542 0.434539 0.900653 0.514045 0.852724 -0.841002 0.53796
0.00492746 0.017008 -0.004042 0.0041956 -0.693801 0.720166 0.003835 0.00519987 0.593552 0.804796 0.650629 0.755652 -0.737621 0.672073
0.00975337 0.0216418 -0.003927 0.0053767 -0.589808 0.807543 0.005137 0.0051283 0.707706 0.706507 0.747396 0.661676 -0.640356 0.765245
0.015762 0.0261508 -0.003802 0.006546 -0.502244 0.864726 0.006432 0.0050408 0.787085 0.616844 0.814644 0.578003 -0.554899 0.829502
0.0229383 0.0305228 -0.003667 0.007698 -0.430056 0.902802 0.007715 0.004939 0.842202 0.539162 0.861591 0.506157 -0.482004 0.874158
0.0312643 0.0347452 -0.003522 0.008832 -0.370411 0.928868 0.008982 0.004824 0.880981 0.473152 0.894894 0.445183 -0.420032 0.90586
0.0407205 0.038805 -0.003363 0.009945 -0.32034 0.947303 0.010227 0.004695 0.908808 0.417215 0.919025 0.393344 -0.367146 0.928801
0.0512837 0.0426885 -0.003194 0.011034 -0.278054 0.960565 0.011451 0.004553 0.929241 0.369473 0.936857 0.349032 -0.321677 0.945728
0.0629285 0.0463825 -0.003012 0.012097 -0.241611 0.970373 0.012647 0.0044 0.944473 0.32859 0.950269 0.310871 -0.282146 0.95844
0.0756263 0.049874 -0.002818 0.013129 -0.20986 0.977732 0.013815 0.004236 0.956066 0.293152 0.960555 0.277621 -0.24744 0.968126
0.0893463 0.0531502 -0.002614 0.014131 -0.181897 0.983318 0.014953 0.004061 0.965043 0.262091 0.96856 0.248377 -0.216602 0.975612
0.104054 0.0561998 -0.002399 0.015094 -0.156967 0.987604 0.016056 0.003876 0.972076 0.234664 0.974879 0.222379 -0.189082 0.981417
0.119715 0.0590112 -0.002174 0.01603 -0.13439 0.990928 0.017125 0.00368 0.977681 0.210094 0.979902 0.19917 -0.164061 0.985991
0.136295 0.061575 -0.001942 0.01693 -0.11396 0.993485 0.018156 0.00348 0.982122 0.188245 0.983883 0.178542 -0.14139 0.989566
0.15375 0.0638835 -0.001704 0.01777 -0.0954541 0.995434 0.019148 0.00328 0.985644 0.168838 0.987125 0.159679 -0.1207 0.992363
0.172035 0.0659297 -0.00146 0.01858 -0.0783376 0.996927 0.020098 0.00306 0.988607 0.150519 0.989795 0.142253 -0.101628 0.994547
0.19111 0.0677088 -0.001214 0.01935 -0.0626159 0.998038 0.021005 0.00284 0.990983 0.133987 0.991941 0.126478 -0.0840273 0.996232
0.210928 0.0692175 -0.000966 0.02006 -0.0480998 0.998843 0.021866 0.00262 0.992898 0.11897 0.993696 0.111884 -0.067746 0.997508
0.231442 0.070454 -0.000718 0.02074 -0.0345984 0.999401 0.02268 0.00239 0.994493 0.104799 0.995138 0.0982724 -0.0525475 0.998457
0.252603 0.071419 -0.000474 0.02135 -0.0221959 0.999754 0.023444 0.00216 0.995782 0.0917459 0.996303 0.0856947 -0.0385357 0.999123
0.274352 0.072115 -0.000233 0.02192 -0.010629 0.999944 0.024156 0.00193 0.996823 0.0796435 0.997242 0.0739965 -0.0254111 0.999568
0.296645 0.0725455 2e-06 0.02244 8.91266e-05 1 0.024814 0.0017 0.997661 0.0683495 0.997985 0.063241 -0.01319 0.999825
0.319425 0.0727165 0.000229 0.0229 0.0099995 0.99995 0.025416 0.00148 0.998309 0.0581326 0.998567 0.0533058 -0.0018119 0.999929
0.342635 0.072635 0.000448 0.0233 0.0192239 0.999815 0.02596 0.00126 0.998824 0.0484791 0.999026 0.0438886 0.00884665 0.999907
0.36622 0.072309 0.000657 0.02365 0.0277694 0.999614 0.026444 0.00104 0.999228 0.039298 0.999381 0.0349028 0.018807 0.999783
0.390122 0.0717485 0.000854 0.02394 0.0356498 0.999364 0.026866 0.00082 0.999535 0.0305076 0.999642 0.0264544 0.0280919 0.999577
0.414288 0.0709645 0.001039 0.02418 0.0429298 0.999078 0.027224 0.00061 0.999749 0.0224011 0.999822 0.0184683 0.0367714 0.999305
0.438657 0.0699683 0.001213 0.02436 0.0497331 0.998763 0.027516 0.0004 0.999894 0.0145355 0.999933 0.0110524 0.0449319 0.998978
0.463172 0.068772 0.001372 0.02448 0.0559579 0.998433 0.027743 0.00021 0.999971 0.00756926 0.999986 0.00414304 0.052554 0.998612
0.48777 0.0673887 0.001519 0.02453 0.0618058 0.998088 0.027901 2e-05 1 0.00071682 0.999992 -0.0024995 0.0597499 0.998211
0.51239 0.0658317 0.00165 0.02453 0.0671129 0.997745 0.027992 -0.00016 0.999984 -0.00571583 0.999955 -0.00892651 0.0664876 0.997787
0.53698 0.064114 0.00177 0.02448 0.0721157 0.997396 0.028011 -0.00034 0.999926 -0.0121372 0.999883 -0.0150082 0.0728893 0.99734
0.561478 0.0622495 0.001874 0.02436 0.0767028 0.997054 0.027961 -0.0005 0.99984 -0.0178792 0.999784 -0.0206098 0.0788947 0.996881
0.585823 0.0602517 0.001966 0.02418 0.0810394 0.996711 0.027841 -0.00065 0.999728 -0.0233405 0.999655 -0.0261307 0.0846745 0.996402
0.609955 0.058134 0.002044 0.02394 0.0850706 0.996375 0.02765 -0.0008 0.999582 -0.028921 0.999497 -0.0316099 0.0901583 0.995914
0.633815 0.05591 0.002108 0.02365 0.0887812 0.996051 0.02739 -0.00094 0.999412 -0.0342989 0.999323 -0.036722 0.0954475 0.995412
0.65735 0.0535925 0.002162 0.0233 0.0923928 0.995723 0.027058 -0.00106 0.999234 -0.0391451 0.999128 -0.0416814 0.100527 0.994901
0.680505 0.0511942 0.002202 0.0229 0.0957157 0.995409 0.02666 -0.00118 0.999022 -0.0442178 0.998915 -0.0465138 0.105493 0.994371
0.703222 0.0487283 0.00223 0.02244 0.098889 0.995098 0.026193 -0.00128 0.998808 -0.0488098 0.998693 -0.0510622 0.110307 0.993831
0.725445 0.0462073 0.002246 0.02192 0.10193 0.994792 0.02566 -0.00137 0.998578 -0.0533146 0.998454 -0.0555384 0.11509 0.993267
0.74712 0.043643 0.002252 0.02135 0.104898 0.994483 0.025061 -0.00145 0.99833 -0.0577622 0.998185 -0.0601734 0.119818 0.992682
0.768195 0.041048 0.002245 0.02073 0.107668 0.994187 0.024399 -0.00153 0.99804 -0.0625846 0.997896 -0.0647965 0.124521 0.992072
0.78862 0.0384343 0.002228 0.02007 0.110334 0.993895 0.023675 -0.00159 0.997752 -0.0670085 0.997613 -0.0690194 0.129253 0.991428
0.80835 0.0358133 0.002201 0.01935 0.113018 0.993593 0.02289 -0.00163 0.997474 -0.0710303 0.997309 -0.0732772 0.134004 0.990755
0.827333 0.0331972 0.002162 0.01858 0.115582 0.993298 0.022049 -0.00167 0.997144 -0.0755241 0.996965 -0.0778182 0.13889 0.990028
0.84552 0.030598 0.002112 0.01777 0.118021 0.993011 0.021152 -0.0017 0.996786 -0.0801123 0.99659 -0.0824769 0.143877 0.989251
0.862875 0.028027 0.002052 0.01693 0.120324 0.992735 0.0202 -0.00172 0.996394 -0.0848415 0.996202 -0.087043 0.148981 0.988415
0.879352 0.0254957 0.001982 0.01603 0.122709 0.992443 0.019196 -0.00172 0.99601 -0.0892445 0.995799 -0.0915399 0.154424 0.987483
0.894907 0.0230158 0.001902 0.01509 0.125054 0.99215 0.018143 -0.00171 0.995588 -0.0938354 0.995325 -0.0965424 0.160116 0.986459
0.90951 0.0205985 0.00181 0.01413 0.127058 0.991895 0.017044 -0.0017 0.995063 -0.0992494 0.994763 -0.102169 0.166052 0.985324
0.923125 0.0182554 0.0017096 0.01313 0.129116 0.99163 0.015898 -0.00168 0.994463 -0.105089 0.994153 -0.107943 0.172601 0.984002
0.935717 0.0159972 0.0015988 0.0121 0.130994 0.991383 0.0147106 -0.00164 0.993843 -0.110798 0.99348 -0.113959 0.179699 0.982475
0.947258 0.0138346 0.0014787 0.01103 0.132873 0.991133 0.0134824 -0.00159 0.993118 -0.11712 0.992632 -0.121102 0.187746 0.980627
0.957718 0.0117775 0.0013499 0.00995 0.134437 0.990922 0.0122151 -0.00154 0.992146 -0.125083 0.991596 -0.129302 0.196932 0.978343
0.96707 0.00983563 0.0012125 0.00883 0.136039 0.990703 0.010911 -0.00147 0.991046 -0.13352 0.990334 -0.13861 0.207965 0.975368
0.97529 0.00801807 0.0010677 0.0077 0.137348 0.990523 0.0095725 -0.00139 0.989621 -0.143701 0.988738 -0.149542 0.22146 0.971346
0.982363 0.00633322 0.0009158 0.00655 0.13847 0.990367 0.0082012 -0.00129 0.987854 -0.155384 0.986565 -0.163178 0.238498 0.965662
0.988262 0.00478883 0.0007579 0.00537 0.139751 0.990187 0.0068001 -0.00118 0.985276 -0.170972 0.983349 -0.181417 0.262458 0.956517
0.99297 0.00339252 0.00059502 0.0042 0.140271 0.990113 0.005371 -0.00105 0.981422 -0.191862 0.978838 -0.204246 0.296867 0.940694
0.996465 0.00215519 0.00042789 0.003 0.141201 0.989981 0.00392072 -0.00087 0.976254 -0.216629 0.972586 -0.232006 0.352196 0.908154
0.998715 0.00110137 0.00025799 0.00181 0.14111 0.989994 0.00246751 -0.00063 0.968918 -0.247382 0.971514 -0.236728 0.448232 0.822655
0.999675 0.0003124 8.62e-05 0.0006 0.142207 0.989837 0.0010772 -0.00025 0.97411 -0.226075 0.487055 0.386963 0.571103 0.494919
0.999675 -0.000312425 8.62e-05 -0.0006 0.142207 -0.989837 0 0.00035 0 1 -0.487057 0.386973 0.571103 -0.494919
1.00073 -0.00093395 0.0011635 0 1 0 0 -0.00215 0 -1 -0.274038 -0.918215 1 0
1.00004 -0.00302688 0.0016484 -0.00143 0.755375 -0.655293 -0.0014088 -0.00215 -0.548075 -0.836429 -0.65883 -0.737487 0.836161 -0.52715
0.998032 -0.0054699 0.0018812 -0.00276 0.56321 -0.826313 -0.0027479 -0.00228 -0.769585 -0.638544 -0.812759 -0.577815 0.675205 -0.721506
0.994732 -0.00812565 0.0020456 -0.00402 0.453517 -0.891248 -0.0041217 -0.00249 -0.855933 -0.517086 -0.878993 -0.474357 0.559005 -0.819271
