VARIABLES = "X", "Y", "Speed", "P", "M","H", "S", "Xvel", "Yvel","F0", "G0", "rho", "RES0", "RES1", "RES2", "RES3" 
ZONE T = "CELL CENTERS AT TIMESTEP 0 ", I = 129 , J = 64, F=POINT 

0.210927 -0.0692205 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -359.855 -196602 116795 -1.12999e+08
0.19111 -0.0677118 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -358.774 -194527 118587 -1.1266e+08
0.172035 -0.0659325 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -357.445 -192189 120540 -1.12242e+08
0.15375 -0.063886 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -355.838 -189555 122615 -1.11738e+08
0.136295 -0.0615773 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -353.952 -186624 124738 -1.11146e+08
0.119715 -0.059013 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -351.531 -183198 127181 -1.10385e+08
0.104053 -0.0562012 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -348.592 -179265 129771 -1.09462e+08
0.0893455 -0.0531515 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -344.951 -174701 132566 -1.08319e+08
0.0756255 -0.0498753 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -340.354 -169294 135645 -1.06876e+08
0.0629278 -0.0463838 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -334.553 -162829 138979 -1.05054e+08
0.0512832 -0.0426892 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -327.051 -154936 142646 -1.02698e+08
0.04072 -0.0388057 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -317.259 -145169 146621 -9.96235e+07
0.0312637 -0.034746 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -304.302 -132841 150834 -9.55547e+07
0.0229377 -0.0305232 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -286.836 -117019 155162 -9.00701e+07
0.0157616 -0.026151 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -262.965 -96339.5 159205 -8.25744e+07
0.00975305 -0.0216417 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -230.223 -69135.1 162072 -7.22929e+07
0.00492719 -0.017008 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -185.606 -33618 162102 -5.82827e+07
0.00129595 -0.012262 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -127.314 10790.2 156366 -3.99781e+07
-0.00113098 -0.007416 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -57.52 61054.8 141393 -1.8062e+07
-0.00234645 -0.00248472 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 14.7649 108632 116117 4.63635e+06
-0.00234641 0.00248483 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 83.6473 147198 84702 2.62663e+07
-0.00113086 0.00741605 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 143.42 173557 52522.3 4.50356e+07
0.00129613 0.012262 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 189.944 188417 25284.9 5.96448e+07
0.00492746 0.017008 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 226.789 197274 4294 7.12146e+07
0.00975337 0.0216418 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 256.067 203129 -11739.3 8.04083e+07
0.015762 0.0261508 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 279.18 207198 -24326.2 8.76661e+07
0.0229383 0.0305228 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 297.17 209955 -34457.7 9.33151e+07
0.0312643 0.0347452 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 311.085 211703 -42789.7 9.76847e+07
0.0407205 0.038805 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 321.888 212677 -49783.3 1.01077e+08
